Roll,Sem,SubCode,Credit,Grade,Sub_Type
0401EE26,1,CH101,8,BC,CORE
0401EE26,1,CH110,3,AB,CORE
0401EE26,1,EE101,8,CC,CORE
0401EE26,1,HS101,6,BB,CORE
0401EE26,1,MA101,8,CD,CORE
0401EE26,1,ME111,7,BC,CORE
0401EE26,1,PH101,6,CD,CORE
0401EE26,1,PH110,3,AA,CORE
0401EE26,2,CH102,6,CC,CORE
0401EE26,2,CS101,6,CC,CORE
0401EE26,2,CS110,3,CC,CORE
0401EE26,2,EE102,4,BC,CORE
0401EE26,2,MA102,8,CD,CORE
0401EE26,2,ME101,8,BC,CORE
0401EE26,2,ME110,3,AA,CORE
0401EE26,2,PH102,6,CD,CORE
0401EE26,3,CS201,9,CC,CORE
0401EE26,3,EE200,6,BC,CORE
0401EE26,3,EE201,6,CD,CORE
0401EE26,3,EE202,3,AB,CORE
0401EE26,3,EE220,8,CD,CORE
0401EE26,3,HS221,6,BB,HS Elective
0401EE26,3,MA201,8,CC,CORE
0401EE26,4,EE203,6,CC,CORE
0401EE26,4,EE204,3,AB,CORE
0401EE26,4,EE230,8,BC,CORE
0401EE26,4,EE280,6,DD,CORE
0401EE26,4,EE281,3,CC,CORE
0401EE26,4,HS223,6,BC,HS ELECTIVE
0401EE26,4,MA225,8,CC,CORE
0401EE26,4,MA251,6,DD,Elective-Sc.
0401EE26,5,EE310,6,CC,CORE
0401EE26,5,EE311,3,BC,CORE
0401EE26,5,EE320,6,DD,CORE
0401EE26,5,EE331,3,BB,CORE
0401EE26,5,EE350,6,CD,CORE
0401EE26,5,EE370,6,DD,CORE
0401EE26,5,EE371,3,BB,CORE
0401EE26,5,EE380,6,CD,CORE
0401EE26,6,EE304,4,BB,CORE
0401EE26,6,EE321,3,BB,CORE
0401EE26,6,EE322,6,CD,CORE
0401EE26,6,EE340,6,DD,CORE
0401EE26,6,EE351,6,DD,CORE
0401EE26,6,EE360,6,DD,CORE
0401EE26,6,EE361,3,CC,CORE
0401EE26,6,HS331,6,BB,HS Elective
0401EE26,7,EE400,2,AA,CORE
0401EE26,7,EE430,6,DD,DEPARTMENTAL ELECTIVE - I
0401EE26,7,EE480,6,CD,CORE
0401EE26,7,EE481,6,CD,CORE
0401EE26,7,EE482,3,CD,CORE
0401EE26,7,EE490,6,CD,DEPARTMENTAL ELECTIVE - II
0401EE26,7,EE498,10,AB,CORE
0401EE26,7,PH402,6,BC,OPEN ELECTIVE - I
0401EE26,8,EE483,6,CC,Departmental Elective - III
0401EE26,8,EE491,6,BC,Departmental Elective - IV
0401EE26,8,EE499,14,BC,CORE
0401EE26,8,HS441,6,CC,HSS Elective
0401EE26,8,PH403,6,BB,Open Elective - II
0401EE29,1,CH101,8,BC,CORE
0401EE29,1,CH110,3,AB,CORE
0401EE29,1,EE101,8,CC,CORE
0401EE29,1,HS101,6,BB,CORE
0401EE29,1,MA101,8,CC,CORE
0401EE29,1,ME111,7,AB,CORE
0401EE29,1,PH101,6,CC,CORE
0401EE29,1,PH110,3,AB,CORE
0401EE29,2,CH102,6,CC,CORE
0401EE29,2,CS101,6,CC,CORE
0401EE29,2,CS110,3,CC,CORE
0401EE29,2,EE102,4,BC,CORE
0401EE29,2,MA102,8,CD,CORE
0401EE29,2,ME101,8,BC,CORE
0401EE29,2,ME110,3,AB,CORE
0401EE29,2,PH102,6,CC,CORE
0401EE29,3,CS201,9,CC,CORE
0401EE29,3,EE200,6,BB,CORE
0401EE29,3,EE201,6,BB,CORE
0401EE29,3,EE202,3,BC,CORE
0401EE29,3,EE220,8,BB,CORE
0401EE29,3,HS201,6,CC,HS Elective
0401EE29,3,MA201,8,CC,CORE
0401EE29,4,EE203,6,BC,CORE
0401EE29,4,EE204,3,AB,CORE
0401EE29,4,EE230,8,BB,CORE
0401EE29,4,EE280,6,DD,CORE
0401EE29,4,EE281,3,BB,CORE
0401EE29,4,HS211,6,AB,HS ELECTIVE
0401EE29,4,MA214,6,CC,Elective-Sc.
0401EE29,4,MA225,8,CC,CORE
0401EE29,5,EE310,6,CC,CORE
0401EE29,5,EE311,3,BC,CORE
0401EE29,5,EE320,6,BC,CORE
0401EE29,5,EE331,3,AA,CORE
0401EE29,5,EE350,6,BC,CORE
0401EE29,5,EE370,6,DD,CORE
0401EE29,5,EE371,3,AA,CORE
0401EE29,5,EE380,6,BC,CORE
0401EE29,6,EE304,4,AA,CORE
0401EE29,6,EE321,3,AA,CORE
0401EE29,6,EE322,6,BC,CORE
0401EE29,6,EE340,6,BC,CORE
0401EE29,6,EE351,6,CD,CORE
0401EE29,6,EE360,6,BB,CORE
0401EE29,6,EE361,3,BC,CORE
0401EE29,6,HS331,6,BC,HS Elective
0401EE29,7,EE400,2,BB,CORE
0401EE29,7,EE430,6,BC,DEPARTMENTAL ELECTIVE - I
0401EE29,7,EE480,6,BC,CORE
0401EE29,7,EE481,6,BC,CORE
0401EE29,7,EE482,3,AB,CORE
0401EE29,7,EE490,6,BC,DEPARTMENTAL ELECTIVE - II
0401EE29,7,EE498,10,AA,CORE
0401EE29,7,PH402,6,AB,OPEN ELECTIVE - I
0401EE29,8,EE483,6,BC,Departmental Elective - III
0401EE29,8,EE491,6,BC,Departmental Elective - IV
0401EE29,8,EE499,14,AA,CORE
0401EE29,8,HS441,6,CD,HSS Elective
0401EE29,8,PH403,6,BB,Open Elective - II
0401EE30,1,CH101,8,BC,CORE
0401EE30,1,CH110,3,AB,CORE
0401EE30,1,EE101,8,CC,CORE
0401EE30,1,HS101,6,BC,CORE
0401EE30,1,MA101,8,CC,CORE
0401EE30,1,ME111,7,BB,CORE
0401EE30,1,PH101,6,CD,CORE
0401EE30,1,PH110,3,AA,CORE
0401EE30,2,CH102,6,CD,CORE
0401EE30,2,CS101,6,CD,CORE
0401EE30,2,CS110,3,BC,CORE
0401EE30,2,EE102,4,AB,CORE
0401EE30,2,MA102,8,BC,CORE
0401EE30,2,ME101,8,CC,CORE
0401EE30,2,ME110,3,BB,CORE
0401EE30,2,PH102,6,DD,CORE
0401EE30,3,CS201,9,BC,CORE
0401EE30,3,EE200,6,BB,CORE
0401EE30,3,EE201,6,BC,CORE
0401EE30,3,EE202,3,BC,CORE
0401EE30,3,EE220,8,BC,CORE
0401EE30,3,HS201,6,CD,HS Elective
0401EE30,3,MA201,8,BC,CORE
0401EE30,4,EE203,6,BC,CORE
0401EE30,4,EE204,3,BB,CORE
0401EE30,4,EE230,8,BB,CORE
0401EE30,4,EE280,6,CD,CORE
0401EE30,4,EE281,3,CC,CORE
0401EE30,4,HS211,6,CC,HS ELECTIVE
0401EE30,4,MA225,8,CC,CORE
0401EE30,4,MA251,6,CC,Elective-Sc.
0401EE30,5,EE310,6,BC,CORE
0401EE30,5,EE311,3,BB,CORE
0401EE30,5,EE320,6,AB,CORE
0401EE30,5,EE331,3,AB,CORE
0401EE30,5,EE350,6,AB,CORE
0401EE30,5,EE370,6,BC,CORE
0401EE30,5,EE371,3,AA,CORE
0401EE30,5,EE380,6,CD,CORE
0401EE30,6,EE304,4,BC,CORE
0401EE30,6,EE321,3,BB,CORE
0401EE30,6,EE322,6,BC,CORE
0401EE30,6,EE340,6,DD,CORE
0401EE30,6,EE351,6,DD,CORE
0401EE30,6,EE360,6,CD,CORE
0401EE30,6,EE361,3,BC,CORE
0401EE30,6,HS331,6,CD,HS Elective
0401EE30,7,EE400,2,BB,CORE
0401EE30,7,EE430,6,AB,Departmental Elective - I
0401EE30,7,EE480,6,CC,CORE
0401EE30,7,EE481,6,CC,CORE
0401EE30,7,EE482,3,BB,CORE
0401EE30,7,EE490,6,BB,CORE
0401EE30,7,EE498,10,AA,CORE
0401EE30,7,PH401,6,BC,Open Elective - I
0401EE30,8,EE483,6,BB,Departmental Elective - III
0401EE30,8,EE491,6,BB,Departmental Elective - IV
0401EE30,8,EE499,14,BB,CORE
0401EE30,8,HS441,6,BB,HSS Elective
0401EE30,8,PH403,6,BB,Open Elective - II
0401EE33,1,CH101,8,DD,CORE
0401EE33,1,CH110,3,BB,CORE
0401EE33,1,EE101,8,DD,CORE
0401EE33,1,HS101,6,CD,CORE
0401EE33,1,MA101,8,DD,CORE
0401EE33,1,ME111,7,DD,CORE
0401EE33,1,PH101,6,DD,CORE
0401EE33,1,PH110,3,CC,CORE
0401EE33,2,CH102,6,DD,CORE
0401EE33,2,CS101,6,CD,CORE
0401EE33,2,CS110,3,CD,CORE
0401EE33,2,EE102,4,CD,CORE
0401EE33,2,MA102,8,DD,CORE
0401EE33,2,ME101,8,CC,CORE
0401EE33,2,ME110,3,BB,CORE
0401EE33,2,PH102,6,CD,CORE
0401EE33,3,CS201,9,DD,CORE
0401EE33,3,EE200,6,CC,CORE
0401EE33,3,EE201,6,DD,CORE
0401EE33,3,EE202,3,DD,CORE
0401EE33,3,EE220,8,CD,CORE
0401EE33,3,HS221,6,CD,HS Elective
0401EE33,3,MA201,8,DD,CORE
0401EE33,4,EE203,6,CC,CORE
0401EE33,4,EE204,3,CC,CORE
0401EE33,4,EE230,8,CD,CORE
0401EE33,4,EE280,6,DD,CORE
0401EE33,4,EE281,3,CD,CORE
0401EE33,4,HS223,6,CC,HS ELECTIVE
0401EE33,4,MA225,8,CD,CORE
0401EE33,4,MA251,6,DD,Elective-Sc.
0401EE33,5,EE310,6,DD,CORE
0401EE33,5,EE311,3,DD,CORE
0401EE33,5,EE320,6,DD,CORE
0401EE33,5,EE331,3,F,CORE
0401EE33,5,EE350,6,F,CORE
0401EE33,5,EE370,6,F,CORE
0401EE33,5,EE371,3,F,CORE
0401EE33,5,EE380,6,DD,CORE
0401EE33,6,EE304,4,F,CORE
0401EE33,6,EE321,3,F,CORE
0401EE33,6,EE322,6,F,CORE
0401EE33,6,EE340,6,F,CORE
0401EE33,6,EE351,6,F,CORE
0401EE33,6,EE360,6,F,CORE
0401EE33,6,EE361,3,F,CORE
0401EE33,6,HS331,6,F,HS Elective
0401EE33,7,EE310,6,F,CORE
0401EE33,7,EE311,3,F,CORE
0401EE33,7,EE320,6,DD,CORE
0401EE33,7,EE331,3,F,CORE
0401EE33,7,EE350,6,F,CORE
0401EE33,7,EE370,6,F,CORE
0401EE33,7,EE371,3,F,CORE
0401EE33,7,EE380,6,DD,CORE
0401EE34,1,CH101,8,AB,CORE
0401EE34,1,CH110,3,AA,CORE
0401EE34,1,EE101,8,BB,CORE
0401EE34,1,HS101,6,BB,CORE
0401EE34,1,MA101,8,AB,CORE
0401EE34,1,ME111,7,BB,CORE
0401EE34,1,PH101,6,AA,CORE
0401EE34,1,PH110,3,AA,CORE
0401EE34,2,CH102,6,BC,CORE
0401EE34,2,CS101,6,CD,CORE
0401EE34,2,CS110,3,BC,CORE
0401EE34,2,EE102,4,AB,CORE
0401EE34,2,MA102,8,AB,CORE
0401EE34,2,ME101,8,BB,CORE
0401EE34,2,ME110,3,BB,CORE
0401EE34,2,PH102,6,BB,CORE
0401EE34,3,CS201,9,BB,CORE
0401EE34,3,EE200,6,AB,CORE
0401EE34,3,EE201,6,AB,CORE
0401EE34,3,EE202,3,AB,CORE
0401EE34,3,EE220,8,AA,CORE
0401EE34,3,HS201,6,AB,HS Elective
0401EE34,3,MA201,8,AB,CORE
0401EE34,4,EE203,6,AB,CORE
0401EE34,4,EE204,3,AA,CORE
0401EE34,4,EE230,8,BB,CORE
0401EE34,4,EE280,6,AB,CORE
0401EE34,4,EE281,3,AB,CORE
0401EE34,4,HS202,6,BB,HS ELECTIVE
0401EE34,4,MA225,8,AB,CORE
0401EE34,4,MA251,6,BB,Elective-Sc.
0401EE34,5,EE310,6,AB,CORE
0401EE34,5,EE311,3,AA,CORE
0401EE34,5,EE320,6,BC,CORE
0401EE34,5,EE331,3,AB,CORE
0401EE34,5,EE350,6,AB,CORE
0401EE34,5,EE370,6,AB,CORE
0401EE34,5,EE371,3,AB,CORE
0401EE34,5,EE380,6,BB,CORE
0401EE34,6,EE304,4,AB,CORE
0401EE34,6,EE321,3,AB,CORE
0401EE34,6,EE322,6,BB,CORE
0401EE34,6,EE340,6,AB,CORE
0401EE34,6,EE351,6,BB,CORE
0401EE34,6,EE360,6,AB,CORE
0401EE34,6,EE361,3,AB,CORE
0401EE34,6,HS331,6,BC,HS Elective
0401EE34,7,EE400,2,AA,CORE
0401EE34,7,EE430,6,AA,DEPARTMENTAL ELECTIVE - I
0401EE34,7,EE480,6,BB,CORE
0401EE34,7,EE481,6,BB,CORE
0401EE34,7,EE482,3,AB,CORE
0401EE34,7,EE490,6,BB,DEPARTMENTAL ELECTIVE - II
0401EE34,7,EE498,10,AA,CORE
0401EE34,7,PH402,6,AA,OPEN ELECTIVE - I
0401EE34,8,EE483,6,AB,Departmental Elective - III
0401EE34,8,EE491,6,BB,Departmental Elective - IV
0401EE34,8,EE499,14,AA,CORE
0401EE34,8,HS441,6,BB,HSS Elective
0401EE34,8,MA412,6,BB,Open Elective - II
0401EE35,1,CH101,8,AB,CORE
0401EE35,1,CH110,3,AA,CORE
0401EE35,1,EE101,8,BC,CORE
0401EE35,1,HS101,6,AB,CORE
0401EE35,1,MA101,8,AB,CORE
0401EE35,1,ME111,7,BB,CORE
0401EE35,1,PH101,6,AB,CORE
0401EE35,1,PH110,3,AA,CORE
0401EE35,2,CH102,6,CC,CORE
0401EE35,2,CS101,6,BC,CORE
0401EE35,2,CS110,3,AB,CORE
0401EE35,2,EE102,4,AB,CORE
0401EE35,2,MA102,8,BB,CORE
0401EE35,2,ME101,8,BB,CORE
0401EE35,2,ME110,3,AA,CORE
0401EE35,2,PH102,6,BB,CORE
0401EE35,3,CS201,9,AA,CORE
0401EE35,3,EE200,6,AB,CORE
0401EE35,3,EE201,6,AB,CORE
0401EE35,3,EE202,3,AB,CORE
0401EE35,3,EE220,8,BB,CORE
0401EE35,3,HS201,6,AA,HS Elective
0401EE35,3,MA201,8,BB,CORE
0401EE35,4,EE203,6,AA,CORE
0401EE35,4,EE204,3,AA,CORE
0401EE35,4,EE230,8,AA,CORE
0401EE35,4,EE280,6,BB,CORE
0401EE35,4,EE281,3,BB,CORE
0401EE35,4,HS202,6,AB,HS ELECTIVE
0401EE35,4,MA225,8,AB,CORE
0401EE35,4,MA251,6,AB,Elective-Sc.
0401EE35,5,EE310,6,AB,CORE
0401EE35,5,EE311,3,AB,CORE
0401EE35,5,EE320,6,AA,CORE
0401EE35,5,EE331,3,AA,CORE
0401EE35,5,EE350,6,AB,CORE
0401EE35,5,EE370,6,AB,CORE
0401EE35,5,EE371,3,BB,CORE
0401EE35,5,EE380,6,BB,CORE
0401EE35,6,EE304,4,AB,CORE
0401EE35,6,EE321,3,AA,CORE
0401EE35,6,EE322,6,AB,CORE
0401EE35,6,EE340,6,AA,CORE
0401EE35,6,EE351,6,AB,CORE
0401EE35,6,EE360,6,AA,CORE
0401EE35,6,EE361,3,AB,CORE
0401EE35,6,HS331,6,AA,HS Elective
0401EE35,7,EE400,2,AA,CORE
0401EE35,7,EE430,6,AA,DEPARTMENTAL ELECTIVE - I
0401EE35,7,EE480,6,AA,CORE
0401EE35,7,EE481,6,AA,CORE
0401EE35,7,EE482,3,AA,CORE
0401EE35,7,EE490,6,AA,DEPARTMENTAL ELECTIVE - II
0401EE35,7,EE498,10,AB,CORE
